source_path,source_relative_path,stage,input_format,decoder_method,status,input_bytes,output_bytes,expected_length,eof_verified,note
/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-1997-03-a-windowed-transportation-planning-model/data/legacy_encoded_originals/legacy_encoded_originals_20260516.zip::model_setup/bethesda_slate/rf9618a/rep.sumtime1.Z,model_setup/bethesda_slate/rf9618a/rep.sumtime1.Z,1,unix_compress_lzw,internal_compress_lzw,partial,659,895,,no,compress invalid code 864 with table end 688
/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-1997-03-a-windowed-transportation-planning-model/data/legacy_encoded_originals/legacy_encoded_originals_20260516.zip::model_setup/bethesda_slate/rf9618a/rep.turnpen.Z,model_setup/bethesda_slate/rf9618a/rep.turnpen.Z,1,unix_compress_lzw,internal_compress_lzw,complete,561,1014,,yes,compress stream reached clean input exhaustion; no original length field exists
/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-1997-03-a-windowed-transportation-planning-model/data/legacy_encoded_originals/legacy_encoded_originals_20260516.zip::model_setup/bethesda_slate/rf9618a/rep.turnpen.Z,model_setup/bethesda_slate/rf9618a/rep.turnpen.Z,2,unknown,,terminal_plain_or_unknown,1014,1014,,yes,no further pack/compress magic detected
/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-1997-03-a-windowed-transportation-planning-model/data/legacy_encoded_originals/legacy_encoded_originals_20260516.zip::model_setup/bethesda_slate/rf9618a/rep.turnvols.Z,model_setup/bethesda_slate/rf9618a/rep.turnvols.Z,1,unix_compress_lzw,internal_compress_lzw,partial,5201,2,,no,compress invalid code 259 with table end 257
/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-1997-03-a-windowed-transportation-planning-model/data/legacy_encoded_originals/legacy_encoded_originals_20260516.zip::model_setup/bethesda_slate/rf9618a/statistics.Z,model_setup/bethesda_slate/rf9618a/statistics.Z,1,unix_compress_lzw,internal_compress_lzw,partial,556,1246,,no,compress invalid code 851 with table end 680
/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-1997-03-a-windowed-transportation-planning-model/data/legacy_encoded_originals/legacy_encoded_originals_20260516.zip::model_setup/bethesda_slate/rf9618a/turnvols.in.Z,model_setup/bethesda_slate/rf9618a/turnvols.in.Z,1,unix_compress_lzw,internal_compress_lzw,partial,22450,10319,,no,compress invalid code 3390 with table end 2641
/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-1997-03-a-windowed-transportation-planning-model/data/legacy_encoded_originals/legacy_encoded_originals_20260516.zip::model_setup/bethesda_slate/rf9619a/d231.in.Z,model_setup/bethesda_slate/rf9619a/d231.in.Z,1,unix_compress_lzw,internal_compress_lzw,partial,48213,4021,,no,compress invalid code 1680 with table end 1346
/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-1997-03-a-windowed-transportation-planning-model/data/legacy_encoded_originals/legacy_encoded_originals_20260516.zip::model_setup/bethesda_slate/rf9619a/d231.out.Z,model_setup/bethesda_slate/rf9619a/d231.out.Z,1,unix_compress_lzw,internal_compress_lzw,partial,46693,4004,,no,compress invalid code 1396 with table end 1369
/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-1997-03-a-windowed-transportation-planning-model/data/legacy_encoded_originals/legacy_encoded_originals_20260516.zip::model_setup/bethesda_slate/rf9619a/plt.diff1918.Z,model_setup/bethesda_slate/rf9619a/plt.diff1918.Z,1,unix_compress_lzw,internal_compress_lzw,partial,331548,2585,,no,compress invalid code 1686 with table end 1610
/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-1997-03-a-windowed-transportation-planning-model/data/legacy_encoded_originals/legacy_encoded_originals_20260516.zip::model_setup/bethesda_slate/rf9619a/plt.wis.9619.Z,model_setup/bethesda_slate/rf9619a/plt.wis.9619.Z,1,unix_compress_lzw,internal_compress_lzw,partial,456013,148,,no,compress invalid code 437 with table end 362
