         nl   nt   nr   sr   st   sl   el   et   er   wr   wt   wl
 16901    0    0    0    0    0    0    0    0    0    0    0    0
 16903    0    0    0    0    0    0    0    0    0    0    0    0
 16904    0    0    0    0    0    0    0    0    0    0    0    0
 16906    0    0    0    0    0    0    0    0    0    0    0    0
 16910    0    0    0    0    0    0    0    0    0    0    0    0
 16913    0    0    0    0    0    0    0    0    0    0    0    0
 16918    0    0    0    0    0    0    0    0    0    0    0    0
 16926    0    0    0    0    0    0    0    0    0    0    0    0
 16927    0    0    0    0    0    0    0    0    0    0    0    0
 16928    0    0    0    0    0    0    0    0    0    0    0    0
 16929    0    0    0    0    0    0    0    0    0    0    0    0
 16931    0    0    0    0    0    0    0    0    0    0    0    0
 16932    0    0    0    0    0    0    0    0    0    0    0    0
 16933    0    0    0    0    0    0    0    0    0    0    0    0
 16935    0    0    0    0    0    0    0    0    0    0    0    0
 16937    0    0    0    0    0    0    0    0    0    0    0    0
 16938    0    0    0  101    0   36   12   -5    0    5    2    0
 16939    0    0    0    0    0    0    0    0    0    0    0    0
 16940    0    0    0    0    0    0    0    0    0    0    0    0
 16941    0    0    0    0    0    0    0    0    0    0    0    0
 16942    0    0    0    0    0    0    0    0    0    0    0    0
 16943    0    0    0    0    0    0    0    0    0    0    0    0
 16945    0    0    0    0    0    0    0    0    0    0    0    0
 16946    0    0    0    0    0    0    0    0    0    0    0    0
 16948    0    0    0    0    0    0    0    0    0    0    0    0
 16949    0    0    0    0    0    0    0    0    0    0    0    0
 16950    0    0    0    0    0    0    0    0    0    0    0    0
 16951    4   17   37    0    0    0   16 1631   61  123 1150   69
 16952    0    0    0    0    0    0    0    0    0    0    0    0
 16956    0    0    0    0    0    0    0    0    0    0    0    0
 16957    0    0    0    0    0    0    0    0    0    0    0    0
 16958    0    0    0    0    0    0    0    0    0    0    0    0
 16959    0    0    0    0    0    0    0    0    0    0    0    0
 16961    0    0    0    0    0    0    0    0    0    0    0    0
